date,open,high,low,close,volume,amount,pctChg
2025-03-13,3925.7439,3939.2854,3897.3758,3911.5793,15653644300,295173112579.6,-0.398556
2025-03-14,3919.6159,4014.1586,3919.6159,4006.5567,21613900300,450895278803.0,2.428109
2025-03-17,4020.6402,4021.7278,3992.2563,3996.7876,16220291100,318904417418.3,-0.243828
2025-03-18,4011.7794,4016.873,3995.9602,4007.7229,14020849600,292739319544.6,0.273602
2025-03-19,4004.8251,4025.299,3989.512,4010.168,14441942800,286075300795.3,0.06101
2025-03-20,4011.0588,4012.0416,3969.9259,3974.9918,13375467000,260020676825.8,-0.877175
2025-03-21,3966.5146,3983.1476,3904.7674,3914.6956,16590529400,309348613935.4,-1.516889
2025-03-24,3916.1136,3938.1826,3907.1999,3934.8486,15223467400,266051442612.7,0.514804
2025-03-25,3937.8975,3946.3574,3921.5287,3932.2951,14047539900,239246310985.8,-0.064894
2025-03-26,3930.2073,3942.026,3916.8607,3919.3566,13116418700,220943164486.2,-0.329032
2025-03-27,3911.3841,3952.9852,3903.652,3932.4117,12679373800,232173613774.0,0.333093
2025-03-28,3930.7763,3934.2336,3907.384,3915.1662,12635621400,213379194289.3,-0.438548
2025-03-31,3905.9815,3928.4482,3872.403,3887.3056,16679852300,268480316572.3,-0.711607
2025-04-01,3892.7794,3905.2622,3882.4045,3887.6841,14038027400,246041674670.2,0.009737
2025-04-02,3884.4181,3900.4949,3877.1599,3884.3858,11304317500,198267515342.4,-0.08484
2025-04-03,3843.4177,3883.7025,3843.4177,3861.5034,14259978900,263684681545.1,-0.589087
2025-04-07,3675.2017,3707.7771,3514.1165,3589.4406,31257858600,512971787744.6,-7.045515
2025-04-08,3597.9859,3650.759,3583.8746,3650.759,28019731200,464021087837.5,1.7083
2025-04-09,3606.1036,3686.7943,3587.3368,3686.7943,26230570800,455031069289.8,0.987063
2025-04-10,3749.1262,3756.1386,3708.8194,3735.1151,22725222700,403842564855.5,1.310645
2025-04-11,3730.3148,3762.3653,3708.4617,3750.5167,16875969100,318535141904.4,0.412346
2025-04-14,3772.0407,3776.6344,3754.033,3759.1422,16446240300,292571297039.1,0.229982
2025-04-15,3756.4788,3764.486,3737.8495,3761.2348,13400604000,228604621375.8,0.055667
2025-04-16,3757.8757,3775.1661,3721.6025,3772.8204,15635900600,261711094768.5,0.308027
2025-04-17,3755.0862,3779.1253,3749.504,3772.2221,12237100200,209012323066.2,-0.015858
2025-04-18,3760.0425,3782.0443,3754.4072,3772.523,10294850900,173109384097.2,0.007977
2025-04-21,3768.1421,3790.1782,3763.1383,3784.8806,12135573000,208085677382.1,0.327569
2025-04-22,3780.1122,3799.2295,3778.0791,3783.9522,12568825700,210200698793.7,-0.024529
2025-04-23,3803.4295,3807.9536,3780.5183,3786.8824,13198687000,247117386122.1,0.077438
2025-04-24,3787.459,3807.2599,3775.207,3784.3574,11716456000,205483051375.0,-0.066678
2025-04-25,3792.0838,3801.5765,3780.7772,3786.9937,12459113300,220535052619.3,0.069663
2025-04-28,3786.3867,3792.0082,3772.8029,3781.6188,12514509100,210635318523.2,-0.141931
2025-04-29,3776.0025,3785.3157,3768.0311,3775.0767,11151469400,197462744362.5,-0.172997
2025-04-30,3775.8306,3787.5639,3768.7573,3770.5705,14368165800,244820462217.6,-0.119367
2025-05-06,3794.3757,3809.0939,3782.777,3808.5424,15852045900,267937090757.4,1.00706
2025-05-07,3861.5767,3863.6776,3814.9868,3831.627,16117229900,286010735453.4,0.606127
2025-05-08,3820.5481,3867.3313,3816.2642,3852.8963,12495983300,246987280587.7,0.555098
2025-05-09,3848.6187,3853.6632,3836.5349,3846.1566,11938952600,216697939671.7,-0.174926
2025-05-12,3866.5305,3890.7342,3859.0346,3890.6096,15333246000,296122947807.8,1.155777
2025-05-13,3915.5924,3915.5924,3890.6855,3896.2583,14732029900,267586397719.9,0.145188
2025-05-14,3894.8386,3960.5228,3890.6504,3943.2108,17203377900,319465226850.5,1.205066
2025-05-15,3934.0273,3936.4653,3904.9068,3907.1992,13808174900,241464943553.6,-0.913256
2025-05-16,3898.6662,3903.8528,3874.8619,3889.0854,11840534500,208835664039.2,-0.463601
2025-05-19,3882.5677,3885.5889,3866.5695,3877.1453,9864341400,184888170553.8,-0.307016
2025-05-20,3883.1024,3911.4737,3881.7436,3898.1705,10488523400,201636702521.8,0.542286
2025-05-21,3899.4365,3928.6339,3899.4365,3916.3807,10979134300,217037739435.0,0.467147
2025-05-22,3912.6007,3923.0195,3903.0898,3913.8651,10759705200,197511410270.8,-0.064233
2025-05-23,3910.3739,3931.5514,3882.2741,3882.2741,12027741900,232945378294.8,-0.807156
2025-05-26,3875.7891,3884.537,3849.0384,3860.1067,10960120700,208876792148.9,-0.57099
